,Close,Compound,Negative,Neutral,Positive,Open,High,Low,Volume
2017-03-21,625.966492,-0.9997,0.12,0.8,0.08,635.0800780000002,635.9221190000002,623.73761,10428134.0
2017-03-22,623.93573,-0.9999,0.148,0.773,0.079,620.121887,627.006592,617.422424,9364609.0
2017-03-23,630.671875,-0.9999,0.133,0.793,0.074,625.6445309999998,632.776917,623.0936889999998,5449349.0
2017-03-24,637.33374,-0.9997,0.131,0.771,0.098,631.068115,639.934082,628.2696530000002,7514381.0
2017-03-27,619.676086,-0.9999,0.129,0.794,0.077,629.582214,633.371277,617.744385,14976876.0
2017-03-28,617.026184,-0.9989,0.092,0.842,0.067,623.0936889999998,626.0655519999998,615.218323,10017936.0
2017-03-29,622.4250490000002,-0.9997,0.121,0.791,0.088,619.973267,624.08429,610.884399,8733582.0
2017-03-30,629.3593139999998,-1.0,0.159,0.762,0.079,621.607788,631.390076,620.6171879999998,12858458.0
2017-03-31,654.248352,-0.9996,0.109,0.812,0.079,627.056152,662.5447389999998,627.056152,20947737.0
2017-04-03,680.871033,-0.9998,0.131,0.786,0.083,664.699341,683.768555,662.247559,20715169.0
2017-04-05,700.856567,-0.9999,0.142,0.773,0.085,691.049561,702.3424679999998,683.570435,18609462.0
2017-04-06,712.496277,-0.9998,0.12,0.802,0.078,697.884766,717.6474,694.516663,23361514.0
2017-04-07,696.696045,-0.9998,0.12,0.816,0.064,703.97699,710.267395,694.690063,14710432.0
2017-04-10,684.189575,-0.9998,0.128,0.793,0.08,698.380066,705.760071,682.1835940000002,14199616.0
2017-04-11,679.731812,-0.9999,0.147,0.764,0.089,687.409058,693.649902,678.617371,14883207.0
2017-04-12,670.643005,-0.9998,0.144,0.746,0.11,684.907776,686.715637,669.2313839999998,12667376.0
2017-04-13,675.992249,-0.9998,0.125,0.79,0.085,670.643005,680.251892,667.349182,5867471.0
2017-04-17,689.390259,-0.9997,0.117,0.798,0.085,676.091309,691.2229,676.091309,5463005.0
2017-04-18,678.666931,-0.9999,0.141,0.774,0.085,693.4022219999998,698.380066,677.0819700000002,7391572.0
2017-04-19,677.973511,-0.9999,0.136,0.776,0.088,678.072571,684.783936,672.401306,5340733.0
2017-04-20,678.344971,-0.9996,0.123,0.783,0.094,683.025574,686.888977,675.645569,3873597.0
2017-04-21,694.665283,-0.9999,0.14,0.792,0.068,683.768555,703.82843,682.802734,13951559.0
2017-04-24,702.045288,-0.9993,0.129,0.758,0.113,697.909485,710.762695,693.526062,11774019.0
2017-04-25,709.6730349999998,-0.9997,0.128,0.775,0.097,723.145325,726.983948,706.3544919999998,16966725.0
2017-04-26,701.574768,-0.9988,0.1,0.818,0.082,710.762695,713.263977,694.714783,7736192.0
2017-04-27,698.132385,-0.9998,0.137,0.766,0.097,701.847168,705.3886110000002,694.516663,5801788.0
2017-04-28,691.049561,-0.9998,0.131,0.773,0.096,698.256226,703.481689,688.969238,5468153.0
2017-05-02,678.840271,-0.9998,0.131,0.772,0.097,694.417603,694.417603,676.735229,8579933.0
2017-05-03,678.617371,-0.9998,0.133,0.768,0.099,681.9854740000002,683.892395,676.091309,4384266.0
2017-05-04,672.599426,-0.9999,0.15,0.757,0.093,681.0443730000002,683.322754,670.667725,6629876.0
2017-05-05,657.888855,-0.9998,0.139,0.763,0.097,674.407288,677.25531,656.2791139999998,7198681.0
2017-05-08,654.496033,-0.9839,0.115,0.773,0.112,658.755676,663.46106,652.9853519999998,7414794.0
2017-05-09,658.929016,-0.9998,0.133,0.78,0.087,655.783813,660.563538,653.926453,9740485.0
2017-05-10,673.169006,-0.9998,0.122,0.791,0.087,661.133118,675.397888,659.077576,10571126.0
2017-05-11,673.3919070000002,-0.9998,0.137,0.761,0.102,675.645569,678.444031,669.479004,6361244.0
2017-05-12,668.8846440000002,-0.9999,0.14,0.777,0.083,673.639587,675.596008,665.714661,3472060.0
2017-05-15,665.739441,-0.9997,0.128,0.775,0.097,671.831726,671.831726,660.489197,3109625.0
2017-05-16,671.782166,-0.999,0.111,0.794,0.095,666.705322,681.9854740000002,664.203979,5840738.0
2017-05-17,670.1972049999998,-0.9999,0.125,0.809,0.066,670.147644,676.5618900000002,667.547302,4543269.0
2017-05-18,657.443115,-0.9996,0.121,0.786,0.093,663.83252,668.661743,655.833374,4518258.0
2017-05-19,653.233032,-0.9999,0.129,0.783,0.088,660.241577,661.5789179999998,648.849548,5913291.0
2017-05-22,655.8580929999998,-0.9994,0.128,0.761,0.111,657.022095,660.538757,651.425171,4061858.0
2017-05-23,646.645447,-0.9999,0.136,0.777,0.087,656.625854,658.681335,644.887085,4256413.0
2017-05-24,642.757324,-0.9997,0.126,0.779,0.095,647.611267,650.68219,641.4694820000002,6611691.0
2017-05-25,645.1099849999998,-0.9997,0.112,0.813,0.075,643.896484,650.038269,642.138184,11963002.0
2017-05-26,662.371399,-0.9999,0.147,0.768,0.085,645.852966,665.888062,643.896484,9890146.0
2017-05-29,672.079346,-0.9999,0.136,0.779,0.084,662.2227780000002,676.314209,661.529358,11086441.0
2017-05-30,673.2928469999998,-0.9997,0.135,0.765,0.101,671.5840450000002,675.942749,667.9188230000002,4457308.0
2017-05-31,664.05542,-0.9999,0.138,0.773,0.089,677.0819700000002,677.55249,661.628418,7579368.0
2017-06-01,657.888855,-0.9998,0.134,0.771,0.095,660.0929570000002,663.708679,655.288513,4399971.0
2017-06-02,656.1552730000002,-0.9998,0.137,0.765,0.098,661.232178,663.064819,652.316711,5304943.0
2017-06-05,658.433716,-0.9998,0.144,0.746,0.11,656.898254,664.203979,651.74707,5000365.0
2017-06-06,650.2363889999998,-0.9998,0.135,0.775,0.09,660.712097,660.712097,649.3448490000002,4426274.0
2017-06-07,663.213379,-0.9999,0.145,0.777,0.078,649.443909,664.699341,648.3542480000001,5168439.0
2017-06-08,659.5976559999998,-0.9999,0.134,0.786,0.08,663.708679,666.086182,657.789795,3647290.0
2017-06-09,661.5789179999998,-0.9998,0.129,0.788,0.083,666.234741,670.122925,659.2509769999998,6385564.0
2017-06-12,653.530212,-0.9997,0.137,0.753,0.11,657.046875,658.631836,652.316711,3891567.0
2017-06-13,651.00415,-0.9999,0.127,0.805,0.069,654.099792,657.269714,649.3448490000002,2780692.0
2017-06-14,672.376526,-0.9994,0.122,0.776,0.102,651.771851,673.614807,651.771851,24431465.0
2017-06-15,685.477356,-0.9999,0.13,0.789,0.081,673.614807,690.9505,673.169006,13056205.0
2017-06-16,687.879578,-0.9996,0.113,0.801,0.085,688.0281980000002,691.3467410000002,678.22113,15096065.0
2017-06-19,698.008606,-0.9996,0.127,0.771,0.102,688.5729980000001,701.252808,688.5729980000001,7031853.0
2017-06-20,699.544006,-0.9944,0.121,0.763,0.116,697.884766,704.37323,697.117004,4680750.0
2017-06-21,704.32373,-0.9998,0.14,0.758,0.102,697.290405,707.295532,695.5320429999998,9226522.0
2017-06-22,709.598694,-0.9999,0.138,0.777,0.084,708.013733,715.913879,707.146973,10207734.0
2017-06-23,711.183716,-0.9999,0.144,0.764,0.092,711.257996,714.229797,708.583313,14372622.0
2017-06-27,711.827576,-0.9981,0.113,0.786,0.1,709.276794,714.725098,705.809631,15040990.0
2017-06-28,692.684021,-0.9998,0.134,0.772,0.093,713.214417,713.214417,691.2229,7184538.0
2017-06-29,689.811279,-0.9998,0.123,0.79,0.086,693.4270019999999,698.380066,688.523499,5952538.0
2017-06-30,683.520935,-0.9999,0.143,0.769,0.088,689.464539,689.662659,681.069153,3606284.0
2017-07-03,684.0409549999998,-0.9998,0.123,0.797,0.08,687.582397,690.80188,679.063171,4243619.0
2017-07-04,704.29895,-0.9999,0.135,0.783,0.082,688.473938,706.849792,687.9786379999998,8683942.0
2017-07-05,714.5517580000002,-0.9999,0.137,0.778,0.086,708.013733,716.929199,705.3143309999998,12556953.0
2017-07-06,714.502258,-0.9996,0.117,0.798,0.085,717.54834,718.192261,712.248596,6271927.0
2017-07-07,738.574036,-0.9999,0.134,0.777,0.09,714.725098,741.843079,713.239197,16542604.0
2017-07-10,739.416077,-1.0,0.166,0.752,0.082,740.5305179999998,743.4032589999998,737.5586549999998,1617344.0
